"Cell Potential[V]", "Cell Current[A]"
-1.3030629,  -0.00028630217
-1.3052056,  -0.00028882694
-1.3070164,  -0.00029196506
-1.3091744,  -0.00029491919
-1.3110036,  -0.00029690752
-1.3127207,  -0.00029966075
-1.3150131,  -0.00030262463
-1.3168814,  -0.00030548456
-1.3189385,  -0.00030848089
-1.3210871,  -0.00031125267
-1.3227951,  -0.00031387870
-1.3250623,  -0.00031713855
-1.3270518,  -0.00032002118
-1.3288960,  -0.00032283462
-1.3310874,  -0.00032572795
-1.3328856,  -0.00032869183
-1.3347885,  -0.00033086621
-1.3369374,  -0.00033377138
-1.3385822,  -0.00033663432
-1.3408079,  -0.00033943998
-1.3427988,  -0.00034218529
-1.3448369,  -0.00034538316
-1.3469756,  -0.00034825219
-1.3487331,  -0.00035101193
-1.3510093,  -0.00035420981
-1.3529218,  -0.00035675411
-1.3548310,  -0.00036004982
-1.3569516,  -0.00036287497
-1.3585700,  -0.00036508292
-1.3606552,  -0.00036752452
-1.3627596,  -0.00037072564
-1.3645700,  -0.00037366976
-1.3668017,  -0.00037634142
-1.3687101,  -0.00037966928
-1.3707832,  -0.00038249177
-1.3728591,  -0.00038547355
-1.3745948,  -0.00038840686
-1.3768320,  -0.00039170572
-1.3788744,  -0.00039439119
-1.3807116,  -0.00039742007
-1.3826903,  -0.00040001493
-1.3844377,  -0.00040249636
-1.3866378,  -0.00040563249
-1.3887423,  -0.00040854625
-1.3903720,  -0.00041162525
-1.3926628,  -0.00041477762
-1.3945941,  -0.00041809009
-1.3965914,  -0.00042108887
-1.3987118,  -0.00042423707
-1.4004345,  -0.00042734650
-1.4026910,  -0.00043027950
-1.4047177,  -0.00043366911
-1.4065728,  -0.00043670416
-1.4083612,  -0.00043911264
-1.4102956,  -0.00044233651
-1.4123236,  -0.00044561435
-1.4145077,  -0.00044903124
-1.4161760,  -0.00045221535
-1.4184636,  -0.00045518759
-1.4204129,  -0.00045813738
-1.4223375,  -0.00046155624
-1.4244538,  -0.00046466284
-1.4263229,  -0.00046783823
-1.4285407,  -0.00047128635
-1.4305449,  -0.00047457902
-1.4320077,  -0.00047718161
-1.4342718,  -0.00048051370
-1.4361443,  -0.00048347615
-1.4381753,  -0.00048672648
-1.4402182,  -0.00049016159
-1.4420302,  -0.00049374182
-1.4443315,  -0.00049684332
-1.4463469,  -0.00050027518
-1.4483151,  -0.00050391276
-1.4503663,  -0.00050685942
-1.4521512,  -0.00051031778
-1.4544290,  -0.00051368523
-1.4563816,  -0.00051618979
-1.4578947,  -0.00051941041
-1.4600773,  -0.00052287632
-1.4620793,  -0.00052663487
-1.4640914,  -0.00052980999
-1.4661847,  -0.00053347514
-1.4679893,  -0.00053720669
-1.4702161,  -0.00054079796
-1.4722530,  -0.00054447897
-1.4741294,  -0.00054811001
-1.4762743,  -0.00055169136
-1.4781015,  -0.00055507126
-1.4801787,  -0.00055859408
-1.4820596,  -0.00056188295
-1.4837888,  -0.00056657808
-1.4860466,  -0.00057051785
-1.4879977,  -0.00057434837
-1.4900135,  -0.00057726182
-1.4921024,  -0.00058115793
-1.4938115,  -0.00058484978
-1.4961664,  -0.00058877191
-1.4981598,  -0.00059248697
-1.4999629,  -0.00059620157
-1.5020980,  -0.00060017422
-1.5038268,  -0.00060411175
-1.5058162,  -0.00060734537
-1.5079742,  -0.00061139362
-1.5097692,  -0.00061630526
-1.5119242,  -0.00062040180
-1.5139009,  -0.00062475564
-1.5159578,  -0.00062910325
-1.5180412,  -0.00063325658
-1.5197461,  -0.00063801641
-1.5220071,  -0.00064264220
-1.5240209,  -0.00064612931
-1.5259073,  -0.00065066967
-1.5280435,  -0.00065531669
-1.5295968,  -0.00065641819
-1.5317704,  -0.00065913566
-1.5339114,  -0.00066381835
-1.5355979,  -0.00067141329
-1.5378062,  -0.00067728267
-1.5397436,  -0.00068233610
-1.5417606,  -0.00068741565
-1.5438566,  -0.00069300943
-1.5456325,  -0.00069834171
-1.5478148,  -0.00070338941
-1.5499542,  -0.00070841609
-1.5518115,  -0.00071330736
-1.5537393,  -0.00071784418
-1.5554869,  -0.00072298661
-1.5577069,  -0.00072865324
-1.5597466,  -0.00073371979
-1.5614412,  -0.00073885708
-1.5636622,  -0.00074480834
-1.5657055,  -0.00075022999
-1.5676561,  -0.00075513582
-1.5696905,  -0.00076062220
-1.5715730,  -0.00076619573
-1.5737521,  -0.00077132311
-1.5758451,  -0.00077708604
-1.5775219,  -0.00078219484
-1.5794557,  -0.00078655340
-1.5813469,  -0.00079236368
-1.5835018,  -0.00079813535
-1.5855631,  -0.00080377934
-1.5873249,  -0.00080968548
-1.5895995,  -0.00081541500
-1.5916314,  -0.00082158340
-1.5935411,  -0.00082778725
